class_name,sample_id,gate,path,mean_all,foreground_ratio,foreground_mean,p95,p99,max_value,bbox_area_ratio,bbox_aspect,edge_density
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75_gate_0.png,0.11628652364015579,0.23756377551020408,0.4872358739376068,0.48627451062202454,0.6666666865348816,0.7058823704719543,0.3494897959183674,0.9343065693430657,0.14286912751677852
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75,1,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75_gate_1.png,0.05709174647927284,0.12406329719387756,0.4519127607345581,0.545098066329956,0.6235294342041016,0.7058823704719543,0.6203364158163265,0.8020304568527918,0.5889156626506024
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75,2,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75_gate_2.png,0.07090101391077042,0.14913504464285715,0.46702778339385986,0.6470588445663452,0.6627451181411743,0.7058823704719543,0.6279097576530612,1.0056497175141244,0.48269410664172124
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0_gate_0.png,0.031787168234586716,0.060467155612244895,0.514725923538208,0.27843138575553894,0.6431372761726379,0.7058823704719543,0.14026626275510204,0.3006535947712418,0.41628213579433093
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0,1,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0_gate_1.png,0.13181531429290771,0.22409119897959184,0.5858242511749268,0.6549019813537598,0.6980392336845398,0.7058823704719543,0.301937181122449,0.3712871287128713,0.3103877623621487
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0,2,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0_gate_2.png,0.08928954601287842,0.1633250956632653,0.5431423187255859,0.5882353186607361,0.686274528503418,0.7058823704719543,0.2393176020408163,0.4810126582278481,0.4109823062843197
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63_gate_0.png,0.05922932177782059,0.11694834183673469,0.5007345080375671,0.6196078658103943,0.6627451181411743,0.7058823704719543,0.24860491071428573,2.8636363636363638,0.3161213360599864
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63,1,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63_gate_1.png,0.12507355213165283,0.21115672831632654,0.589806854724884,0.6705882549285889,0.686274528503418,0.7058823704719543,0.2737563775510204,2.9705882352941178,0.2873053327041057
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63,2,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63_gate_2.png,0.04659191519021988,0.10724250637755102,0.42529594898223877,0.48235294222831726,0.6352941393852234,0.7058823704719543,0.26833545918367346,2.911764705882353,0.44136777550641143
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8_per_gate_maxnorm\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6_gate_0.png,0.1695425808429718,0.2705676020408163,0.6248630881309509,0.6823529601097107,0.6901960968971252,0.7058823704719543,0.3923389668367347,1.892156862745098,0.11166764879198586
