class_name,sample_id,gate,path,mean_all,foreground_ratio,foreground_mean,p95,p99,max_value,bbox_area_ratio,bbox_aspect,edge_density
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75_gate_0.png,0.058143261820077896,0.23614875637755103,0.24492910504341125,0.24313725531101227,0.3333333432674408,0.3529411852359772,0.34438775510204084,0.9481481481481482,0.10110557852983375
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75,1,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75_gate_1.png,0.022159257903695107,0.1161312181122449,0.1862768679857254,0.21176470816135406,0.24313725531101227,0.27450981736183167,0.6171875,0.8061224489795918,0.4036382357988673
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75,2,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_009_6e50bf75_gate_2.png,0.01927325688302517,0.13962850765306123,0.13439293205738068,0.1764705926179886,0.18039216101169586,0.1921568661928177,0.6243622448979592,1.0113636363636365,0.2940336854125036
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0_gate_0.png,0.014345113188028336,0.05893255739795918,0.2373020052909851,0.125490203499794,0.29019609093666077,0.3176470696926117,0.14026626275510204,0.3006535947712418,0.1995265471761921
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0,1,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0_gate_1.png,0.06226607784628868,0.2236328125,0.2771756649017334,0.30980393290519714,0.3294117748737335,0.3333333432674408,0.2979113520408163,0.36633663366336633,0.16281971303805365
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0,2,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_010_aa0919f0_gate_2.png,0.03873627632856369,0.16185028698979592,0.23735222220420837,0.2549019753932953,0.2980392277240753,0.30588236451148987,0.23154496173469388,0.4713375796178344,0.20773303780322622
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63_gate_0.png,0.02699955180287361,0.1090561224489796,0.24290291965007782,0.2823529541492462,0.3019607961177826,0.32156863808631897,0.24465880102040816,2.8181818181818183,0.20010964912280702
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63,1,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63_gate_1.png,0.05283863842487335,0.20860570790816327,0.2517368495464325,0.2823529541492462,0.29019609093666077,0.2980392277240753,0.2724011479591837,2.9558823529411766,0.16824304958440814
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63,2,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_011_5fdc7c63_gate_2.png,0.01806792989373207,0.10251913265306123,0.17198793590068817,0.1882352977991104,0.24705882370471954,0.27450981736183167,0.26698022959183676,2.8970588235294117,0.25913685847589424
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6_gate_0.png,0.08374740928411484,0.2705078125,0.30871009826660156,0.33725491166114807,0.34117648005485535,0.3490196168422699,0.3923389668367347,1.892156862745098,0.06815000368378399
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6,1,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6_gate_1.png,0.07733969390392303,0.30165816326530615,0.25554710626602173,0.3176470696926117,0.32156863808631897,0.32156863808631897,0.4106345663265306,1.9803921568627452,0.11000264270613108
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6,2,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_026_dc3281d6_gate_2.png,0.010915538296103477,0.04257015306122449,0.24829256534576416,0.003921568859368563,0.29019609093666077,0.3176470696926117,0.32322225765306123,1.5588235294117647,0.29634831460674155
true3d,01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_037_b6e6a937,0,dataset_new\Military_TrueFalse_Selected44_blender_refl_overlap_w15_m012_v8\true3d\01_Main_Battle_Tank__01_Main_Battle_Tank_01_Main_Battle_Tank_037_b6e6a937_gate_0.png,0.1351291388273239,0.45553651147959184,0.2960563898086548,0.3803921639919281,0.3843137323856354,0.38823530077934265,0.5127551020408163,0.6368159203980099,0.10898193113706961
